Folio,MES,AÑO,TRIMESTRE,PUNTO_ENTRADA,TERMINAL,AEROLINEA,NO_DE_VUELO,DESTINO_HOSPEDADO,LUGAR_DE_ORIGEN,ESTADOS_MEXICO,ESTADOS_USA,CANADA,SUDAMERICA,EUROPA,OTROS_PAIS,TIPO_PAQUETE,AGENCIA_DE_VIAJES,DONDE_COMPRO_VACACIONES,MOTIVO_PRINCIPAL,VECES_CANCUN,VECES_RANGOS,ESTANCIA,ESTANCIA_RANGOS,OTRO_LUGAR_PERNOCTO,NUMERO_DE_NOCHES,OTRO_LUGAR_PERNOCTO2,NUMERO_DE_NOCHES2,OTRO_LUGAR_PERNOCTO3,NUMUERO_NOCHES3,OTRO_LUGAR_PERNOCTO4,NUMERO_NOCHES4,NUMERO_ADULTOS,NIÑOS,TAMAÑO_GRUPO,CON_QUIEN_VIAJO,GASTO_TOTAL,GASTO_AVION,GASTO_HOTEL,GASTO_TRANSPORTE_TERRESTRE,GASTO_RESTAURANTES,GASTO_BARES,GASTO_TOURS,GASTO_COMPRA,DONDE_SE_HOSPEDO,HOTEL,TOUR1,TOUR2,TOUR3,TOUR4,OTRO_TOUR,TOUR_FAVORITO,NDONDE_COMPRO_TOUR,NADO_CON_DELFINES,SITIO1,SITIO2,Folio_2,REST_SMART_PHONE,BARES_SMART_PHONE,CENTROS_COMERCIALES_SMART_PHONE,TOURS_SMART_PHONE,OTROS_USOS_PHONE,CALIF_AEROPUERTO,CALIF_HOTEL,CALIF_AGENCIA,CALIF_TRANSPORTE,CALIF_RESTAURANTE,CALIF_BARES,CALIF_MALLS,CALIF_TOURS,CALIF_PLAYAS,CALIF_SEGURIDAD,CALIF_MEDIDAS_SANITARIAS,MEDIOS1,MEDIOS2,MEDIOS3,CUAL_RED_SOCIAL,QUE_OTRO_DESTINO_CARIBE1,QUE_OTRO_DESTINO_CARIBE2,QUE_OTRO_DESTINO_CARIBE3,CONSUMO_DE_RECURSOS,CONSUMO_DE_RECURSOS2,CONSUMO_DE_RECURSOS3,SUSTENTABLE_DESTINO_TURISTICO,IMPORTANTE_SUSTENTABILIDAD_DESTINO,QUE_OTRO_DESTINO_CONSIDERO1,QUE_OTRO_DESTINO_CONSIDERO2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE1,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE3,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE4,IMPERDIBLES1,IMPERDIBLES2,IMPERDIBLES3,PALABRAS_EXPERIENCIA1,PALABRAS_EXPERIENCIA2,PALABRAS_EXPERIENCIA3,PALABRAS_PARAISO1,PALABRAS_PARAISO2,PALABRAS_PARAISO3,E_13AÑOS19AÑOS,E_20AÑOS29AÑOS,E_30AÑOS39AÑOS,EDAD_JEFE_DE_FAMILIA,INGRESO,CAPTURISTA,ENCUESTADOR,ESTUDIO_CUAL,FECHA_CAPTURA,HORA_CAPTURA,FOLIO_3,DESTINO_DURMIO1,NOCHES_DURMIO1,DESTINO_DURMIO2,NOCHES_DURMIO2,DESTINO_DURMIO3,NOCHES_DURMIO3,DESTINO_DURMIO4,NOCHES_DURMIO4,DESTINO_DURMIO5,NOCHES_DURMIO5,DESTINO_DURMIO6,NOCHES_DURMIO6,CODIGO_POSTAL,QUE_AÑO_FUE_VISITA_ANTERIOR,DESTINOS_DEL_CARIBE_MEXICANO1,DESTINOS_DEL_CARIBE_MEXICANO2,DESTINOS_DEL_CARIBE_MEXICANO3,DESTINOS_DEL_CARIBE_MEXICANO4,DESTINOS_DEL_CARIBE_MEXICANO5,DESTINOS_DEL_CARIBE_MEXICANO6,FRECUENCIA_HA_VISITADO_DESTINOS_DEL_CARIBE,REDES_SOCIALES_INSPIRAN_ELECCIÓN1,REDES_SOCIALES_INSPIRAN_ELECCIÓN2,REDES_SOCIALES_INSPIRAN_ELECCIÓN3,REDES_SOCIALES_INSPIRAN_ELECCIÓN4,GRUPO_ÉTNICO,ORIGEN_GRUPO_ÉTNICO,HABLA_ESPAÑOL,MOTIVO_PRINCIPAL_2,MOTIVO_PRINCIPAL_3,MOTIVOS_PARA_VIAJAR,QUE_TANTO_ENTIENDE_ESPAÑOL,SE_CONSIDERA_PARTE_DE_COMUNIDAD_LGBTQ,SEXO_ENCUESTADOR
33601,10.0,2024,4,3,,1,,9,1,33,,,,,,7,,9,8,3,3,6,3,13,2,4,1,,,,,10,,10,4,1230,130,100,200,400,300,,100,5,,1,15,17,,,,,,,,33601,,,,,,2,3,3,3,1,2,3,1,,,,9,,,,,,,,,,10,1,26,,1,14,,,1,,,26,,,,,,,10,,3,9,3,6,2,07/11/2024,12:42:10 p. m.,33601,,,,,,,,,,,,,,2018,6,,,,,,4,2,1,,,,,,2,13,4,,2,2
11825,4.0,2024,2,,1,42,572,4,2,,23,,,,,7,,3,2,1,1,4,2,4,1,,,,,,,10,,10,4,1500,400,200,500,100,100,,,5,,,,,,,,,2,,,11825,1,1,1,,,3,3,4,4,2,,3,3,3,3,,5,,,,,,,,,,1,2,,,1,,,,,,,,,,1,,,,10,,3,8,3,1,1,19/04/2024,01:52:06 p. m.,11825,,,,,,,,,,,,,55426,,,,,,,,1,7,,,,,,,,,3,,2,
3235,2.0,2024,1,,1,25,47,4,2,,38,,,,,7,,9,2,1,1,4,2,,,,,,,,,10,,10,4,2000,400,200,,,,,,5,,2,,,,,,,2,6,350,3235,1,1,,,,1,1,,1,1,1,,,1,1,1,9,,,,12,,,,,,,2,,,20,14,,,,,,5,12,,,,,,10,,3,4,2,1,1,07/02/2024,04:26:50 p. m.,3235,,,,,,,,,,,,,19148,,4,,,,,,3,2,7,,,1,,,4,,1,1,2,
6004,2.0,2024,1,,3,6,992,2,2,,38,,,,,7,,5,2,1,1,7,3,,,,,,,,,10,,10,4,10000,,,,,,,,1,837,,,,,,,,2,,,6004,,,,,,2,3,,2,3,2,,,1,2,2,,,,,,,,,,,2,2,,,9,,,,,,,,,,,,,,10,,3,5,3,1,1,20/02/2024,,6004,,,,,,,,,,,,,,,,,,,,,4,2,1,3,,2,,,4,9,,2,2,
38245,12.0,2024,4,,2,55,2168,1,1,18,,,,,,3,,1,4,6,4,6,3,,,,,,,,,10,,10,4,5000,,,,,,,,1,453,11,,,,,,,2,339,,38245,1,1,,1,,1,2,1,1,1,3,1,2,1,1,,8,7,14,,,,,,,,10,1,,,20,9,19,23,8,26,17,34,21,48,6,9,,,10,,3,2,7,4,1,19/12/2024,05:18:25 p. m.,38245,,,,,,,,,,,,,64100,2022,7,,,,,,4,2,3,7,,,,,2,6,2,,2,1
1478,1.0,2024,1,,1,42,574,2,2,,23,,,,,3,185,1,4,2,2,6,3,,,,,,,,,10,,10,3,2800,,,,,,,,1,481,11,42,49,,,,,2,,,1478,1,,1,1,,1,1,,1,1,,2,2,1,1,1,8,14,,,4,,,6,,,,,,,1,20,,,9,,,5,56,,7,,,,10,,3,6,7,4,1,23/01/2024,01:34:46 p. m.,1478,,,,,,,,,,,,,54848,2017,13,,,,,,4,,,,,2,,,,,,4,2,
18366,6.0,2024,2,,2,51,3636,2,5,,,,8,,,3,,,4,1,1,5,3,,,,,,,,,10,,10,4,1200,,,,,,,,1,232,,,,,,,,2,8,,18366,,,,,,1,1,1,1,,,,,3,2,,,,,,,,,,,,7,2,,,17,,,,,,,,,,,,,,10,,3,,2,1,1,24/06/2024,12:52:56 p. m.,18366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30897,10.0,2024,4,,2,55,2174,2,1,18,,,,,,1,,1,,1,,54,,1,4,,,,,,,10,,10,3,1000,,,,,,,,1,145,,,,,,,,2,36,,30897,1,1,,,,1,1,1,1,1,1,1,1,1,1,,8,9,,,,,,,,,10,1,26,,1,17,16,23,,,,62,,,,,,,10,,3,6,7,1,1,14/10/2024,05:21:37 p.m.,30897,,,,,,,,,,,,,64750,,,,,,,,,1,7,,,,,,,,1,,,1
19223,6.0,2024,2,,1,1,591,6,1,24,,,,,,7,,6,8,1,1,3,2,,,,,,,,,10,,10,4,1000,,,,,,,,1,206,,,,,,,,2,,,19223,,,,,,1,1,,,,,,,,,,14,,,,,,,,,,6,1,,,1,,,,,,,71,34,,,,,,10,,3,,7,4,1,27/06/2024,11:42:19 a. m.,19223,,,,,,,,,,,,,82110,,,,,,,,3,2,,,,,,,,,1,,2,1
14635,5.0,2024,2,,1,146,2611,1,3,,,,,,,3,,3,2,2,2,1,1,,,,,,,,,10,,10,3,556,,,,,,,,1,,,,,,,,,2,6,,14635,,,,,,1,1,1,1,1,1,1,1,1,1,,8,14,,,,,,,,,10,1,,,1,17,20,,,,,56,5,,,,,,10,,3,3,7,1,1,22/05/2024,10:40:59 a. m.,14635,,,,,,,,,,,,,,,,,,,,,3,2,4,,,,,,,,2,,2,1
