Folio,MES,AÑO,TRIMESTRE,PUNTO_ENTRADA,TERMINAL,AEROLINEA,NO_DE_VUELO,DESTINO_HOSPEDADO,LUGAR_DE_ORIGEN,ESTADOS_MEXICO,ESTADOS_USA,CANADA,SUDAMERICA,EUROPA,OTROS_PAIS,TIPO_PAQUETE,AGENCIA_DE_VIAJES,DONDE_COMPRO_VACACIONES,MOTIVO_PRINCIPAL,VECES_CANCUN,VECES_RANGOS,ESTANCIA,ESTANCIA_RANGOS,OTRO_LUGAR_PERNOCTO,NUMERO_DE_NOCHES,OTRO_LUGAR_PERNOCTO2,NUMERO_DE_NOCHES2,OTRO_LUGAR_PERNOCTO3,NUMUERO_NOCHES3,OTRO_LUGAR_PERNOCTO4,NUMERO_NOCHES4,NUMERO_ADULTOS,NIÑOS,TAMAÑO_GRUPO,CON_QUIEN_VIAJO,GASTO_TOTAL,GASTO_AVION,GASTO_HOTEL,GASTO_TRANSPORTE_TERRESTRE,GASTO_RESTAURANTES,GASTO_BARES,GASTO_TOURS,GASTO_COMPRA,DONDE_SE_HOSPEDO,HOTEL,TOUR1,TOUR2,TOUR3,TOUR4,OTRO_TOUR,TOUR_FAVORITO,NDONDE_COMPRO_TOUR,NADO_CON_DELFINES,SITIO1,SITIO2,Folio_2,REST_SMART_PHONE,BARES_SMART_PHONE,CENTROS_COMERCIALES_SMART_PHONE,TOURS_SMART_PHONE,OTROS_USOS_PHONE,CALIF_AEROPUERTO,CALIF_HOTEL,CALIF_AGENCIA,CALIF_TRANSPORTE,CALIF_RESTAURANTE,CALIF_BARES,CALIF_MALLS,CALIF_TOURS,CALIF_PLAYAS,CALIF_SEGURIDAD,CALIF_MEDIDAS_SANITARIAS,MEDIOS1,MEDIOS2,MEDIOS3,CUAL_RED_SOCIAL,QUE_OTRO_DESTINO_CARIBE1,QUE_OTRO_DESTINO_CARIBE2,QUE_OTRO_DESTINO_CARIBE3,CONSUMO_DE_RECURSOS,CONSUMO_DE_RECURSOS2,CONSUMO_DE_RECURSOS3,SUSTENTABLE_DESTINO_TURISTICO,IMPORTANTE_SUSTENTABILIDAD_DESTINO,QUE_OTRO_DESTINO_CONSIDERO1,QUE_OTRO_DESTINO_CONSIDERO2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE1,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE2,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE3,DESPUES_DE_VISITAR_DESTINO_COMO_SE_SIENTE4,IMPERDIBLES1,IMPERDIBLES2,IMPERDIBLES3,PALABRAS_EXPERIENCIA1,PALABRAS_EXPERIENCIA2,PALABRAS_EXPERIENCIA3,PALABRAS_PARAISO1,PALABRAS_PARAISO2,PALABRAS_PARAISO3,E_13AÑOS19AÑOS,E_20AÑOS29AÑOS,E_30AÑOS39AÑOS,EDAD_JEFE_DE_FAMILIA,INGRESO,CAPTURISTA,ENCUESTADOR,ESTUDIO_CUAL,FECHA_CAPTURA,HORA_CAPTURA,FOLIO_3,DESTINO_DURMIO1,NOCHES_DURMIO1,DESTINO_DURMIO2,NOCHES_DURMIO2,DESTINO_DURMIO3,NOCHES_DURMIO3,DESTINO_DURMIO4,NOCHES_DURMIO4,DESTINO_DURMIO5,NOCHES_DURMIO5,DESTINO_DURMIO6,NOCHES_DURMIO6,CODIGO_POSTAL,QUE_AÑO_FUE_VISITA_ANTERIOR,DESTINOS_DEL_CARIBE_MEXICANO1,DESTINOS_DEL_CARIBE_MEXICANO2,DESTINOS_DEL_CARIBE_MEXICANO3,DESTINOS_DEL_CARIBE_MEXICANO4,DESTINOS_DEL_CARIBE_MEXICANO5,DESTINOS_DEL_CARIBE_MEXICANO6,FRECUENCIA_HA_VISITADO_DESTINOS_DEL_CARIBE,REDES_SOCIALES_INSPIRAN_ELECCIÓN1,REDES_SOCIALES_INSPIRAN_ELECCIÓN2,REDES_SOCIALES_INSPIRAN_ELECCIÓN3,REDES_SOCIALES_INSPIRAN_ELECCIÓN4,GRUPO_ÉTNICO,ORIGEN_GRUPO_ÉTNICO,HABLA_ESPAÑOL,MOTIVO_PRINCIPAL_2,MOTIVO_PRINCIPAL_3,MOTIVOS_PARA_VIAJAR,QUE_TANTO_ENTIENDE_ESPAÑOL,SE_CONSIDERA_PARTE_DE_COMUNIDAD_LGBTQ,SEXO_ENCUESTADOR
19033,3.0,2024,1,,,,,8,4,,,,,12,,7,,4,1,,,2,1,,,,,,,,,,,2,2,4350,1350,1000,400,800,200,400,200,1,,121,107,,,,,,,,,19033,1,1,,1,,1,2,,1,1,3,2,2,1,2,2,14,9,12,,9,,,2,4,,7,2,,,18,19,,,35,17,1,21,38,,74,27,16,,2,,3,9,2,6,2,09/04/2024,10:50:09 a. m.,19033,2,2,20,1,7,3,11,1,13,2,18,2,1240,2024,,,,,,,1,2,3,7,,,,,9,4,1,1,1,
30769,10.0,2024,4,,2,20,326,1,5,,,,20,,,3,,1,10,1,,5,,,,,,,,,,2,,2,2,2100,500,400,200,200,200,400,200,1,1403,107,26,52,,,,,1,,,30769,,,,,,2,1,1,1,1,,1,1,1,1,,8,,,,,,,,,,10,1,,,1,,,,,,,,,,,,,,2,,3,8,2,4,1,14/10/2024,04:43:28 p.m.,30769,,,,,,,,,,,,,501,2023,,,,,,,1,2,7,5,,,,,,,4,,2,1
37411,12.0,2024,4,,1,1,551,2,1,24,,,,,,7,,2,3,1,1,6,3,,,,,,,,,2,,2,2,2500,600,600,100,200,200,400,200,1,47,5,21,,,,,,2,,,37411,1,1,1,1,,2,2,3,2,2,2,2,2,2,4,,13,,,,,,,,,,7,3,,,1,17,20,,,,,,,,,,,,2,,3,8,3,1,1,12/12/2024,12:21:22 p. m.,37411,,,,,,,,,,,,,,,,,,,,,1,3,7,,,,,,2,4,,,2,1
19081,6.0,2024,2,,2,77,,4,4,,,,,23,,7,,3,3,1,1,21,4,,,,,,,,,2,,2,4,4300,1400,1000,400,800,100,400,200,1,,11,17,5,6,,,,2,47,,19081,1,1,1,1,,3,2,,2,1,1,1,1,1,2,,9,,,,,,,,,,7,3,73,,23,,,,4,,,5,7,2,6,25,22,,2,,3,3,2,1,1,27/06/2024,12:24:10 p. m.,19081,,,,,,,,,,,,,674654,,12,7,,,,,1,2,7,,,,,,6,4,5,,2,1
28335,9.0,2024,3,,2,55,2200,6,1,25,,,,,,7,,4,2,5,4,7,3,,,,,,,,,2,,2,2,2500,500,600,300,500,,400,200,4,,26,21,33,,,,,2,,,28335,1,1,1,1,,1,1,1,3,2,2,2,1,1,2,,9,,,,,,,,,,,1,,,1,17,20,18,,,,,,,,,,,2,,3,,3,1,1,20/09/2024,01:02:54 p. m.,28335,,,,,,,,,,,,,,2022,8,12,4,6,,,4,2,1,7,,,,,,,2,,2,3
2722,1.0,2024,1,,1,25,45,1,2,,13,,,,,3,,2,11,2,2,5,3,,,,,,,,,2,,2,2,2500,,,50,100,,400,200,1,,26,,,,,,,2,,,2722,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,3,1,1,31/01/2024,04:44:28 p. m.,2722,,,,,,,,,,,,,,2019,,,,,,,4,,,,,,,,10,4,,,2,
19872,6.0,2024,2,,2,133,5554,2,5,,,,7,,,1,,2,3,1,1,9,4,,,,,,,,,2,,2,4,4000,1000,100,100,100,500,350,200,1,,5,26,6,17,,,,2,,,19872,,,,,,3,2,2,3,2,2,2,2,2,2,,8,9,,,,,,,,,8,2,,,19,,,,4,8,17,12,21,35,13,6,16,,2,,3,8,7,4,1,02/07/2024,05:28:13 p. m.,19872,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,9,4,5,,2,1
20566,6.0,2024,2,7,,,,3,2,,32,,,,,7,,3,10,2,2,16,4,,,,,,,,,2,,2,3,2500,80,400,300,300,150,350,200,1,,5,6,11,17,,,,,6,,20566,1,1,,1,,2,1,3,2,3,2,2,3,1,1,,12,7,,,,,,,,,7,1,64,,1,4,,,1,,,2,,,1,22,,,2,,3,7,3,6,2,09/07/2024,04:24:50 p. m.,20566,,,,,,,,,,,,,,,8,6,,,,,1,2,3,,,1,,,8,9,5,,2,2
4280,2.0,2024,1,,3,28,1452,4,2,,32,,,,,7,,3,9,1,1,3,2,,,,,,,,,2,,2,2,2100,800,300,150,400,,350,200,5,,21,17,,,,,,2,,,4280,1,,,1,,1,1,1,1,,,1,1,1,1,1,9,,,,1,3,4,3,,,8,2,,,1,17,20,18,,,,,,,,,,,2,,3,6,3,1,1,12/02/2024,,4280,,,,,,,,,,,,,,,,,,,,,1,2,7,,,1,,,2,11,,1,2,
1805,1.0,2024,1,,1,1,541,4,5,,,,11,,,7,,2,4,1,1,7,3,,,,,,,,,2,,2,2,2500,500,600,300,200,100,300,200,1,,5,26,,,,,,2,350,,1805,1,1,1,1,,1,1,,,1,1,1,3,1,1,1,14,9,,,4,7,,1,3,4,10,1,19,20,1,17,20,9,3,50,,2,12,9,1,2,,,2,,3,9,7,1,1,25/01/2024,04:39:50 p. m.,1805,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,2,11,4,1,2,
13349,4.0,2024,2,,1,1,529,1,2,,,,,,,7,,2,11,1,1,6,3,,,,,,,,,2,,2,2,2000,350,800,200,150,,300,200,5,,6,11,,,,,,2,350,,13349,1,,1,1,,3,3,,1,1,,2,1,1,2,,14,7,9,,,,,,,,6,,,,1,18,9,14,,,,34,12,53,6,10,7,,2,,3,7,2,1,1,02/05/2024,01:58:43 p. m.,13349,,,,,,,,,,,,,,,,,,,,,1,2,7,,,1,,,3,6,2,,2,2
31989,10.0,2024,4,,3,48,1275,1,2,,5,,,,,7,,2,13,1,,7,,,,,,,,,,1,,1,1,3000,600,2100,250,,,300,200,1,,6,107,,,,,,2,,,31989,1,,,,,,,3,,,,2,2,,4,,12,,,,,,,,,,2,1,,,1,19,23,,4,,,2,,,,,,,2,,3,,3,1,1,28/10/2024,04:45:34 p.m.,31989,,,,,,,,,,,,,95014,,,,,,,,1,1,,,,2,,,3,,,,2,1
16221,5.0,2024,2,,3,28,572,1,2,,32,,,,,,,2,12,1,1,7,3,,,,,,,,,2,,2,2,4500,2000,2000,,,,300,200,1,1465,11,,,,,,,2,3,8,16221,1,,1,1,,2,1,2,2,1,,3,2,2,1,,12,,,,,,,,,,10,2,18,,1,23,,,8,3,41,,,,,,,,2,,3,6,3,1,1,04/06/2024,10:47:20 a. m.,16221,,,,,,,,,,,,,,,,,,,,,1,2,8,3,7,1,,,6,11,2,,2,2
35270,11.0,2024,4,,2,118,554,2,5,,,,1,,,3,,1,4,1,1,9,4,,,,,,,,,2,,2,2,2500,1000,1000,,,,300,200,1,340,5,107,,,,,,2,8,,35270,,,,1,,2,1,1,2,2,2,2,1,1,1,,8,,,,,,,,,,9,1,,,18,,,,,,,4,17,2,3,,,,2,,3,5,2,4,1,26/11/2024,11:01:32 a. m.,35270,,,,,,,,,,,,,5515,,,,,,,,1,2,,,,1,,,2,11,1,,2,1
5534,2.0,2024,1,,2,51,478,2,1,3,,,,,,7,,4,9,1,1,9,4,,,,,,,,,2,,2,2,2488,200,1200,200,118,,270,200,1,136,6,26,,,,,,2,103,,5534,1,,,1,,2,1,2,3,3,3,2,2,1,1,3,13,7,9,,1,4,12,2,5,,8,2,,,1,17,18,,3,15,5,,,,9,,,,2,,3,8,7,1,1,15/02/2024,,5534,,,,,,,,,,,,,22666,,,,,,,,1,1,3,,,,,,4,,2,,,
2388,1.0,2024,1,,2,133,5553,2,5,,,,7,,,7,,4,11,1,1,7,3,,,,,,,,,2,,2,2,2000,350,350,200,300,,250,200,5,,5,17,42,11,,,,2,,,2388,1,,,1,,3,1,3,2,2,,,2,1,2,3,,,,,,,,,,,6,2,,,,18,15,,,,,2,11,,,,,,2,,3,9,3,1,1,30/01/2024,12:33:16 p. m.,2388,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,
27866,9.0,2024,3,,1,1,539,2,1,33,,,,,,3,23,2,4,1,1,5,3,1,1,3,1,,,,,2,,2,2,4000,250,800,50,,,250,200,1,830,11,26,,,,,,2,,,27866,1,,,1,,2,1,2,2,1,,,1,2,2,,9,,,,,,,,,,9,1,,,1,17,20,9,3,8,41,12,2,23,9,6,,,2,,3,,7,4,1,13/09/2024,12:10:56 p. m.,27866,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,2,,,
10032,3.0,2024,1,,2,55,436,1,5,,,,9,,,7,,4,10,1,1,7,3,,,,,,,,,2,,2,2,2500,500,1000,200,200,200,200,200,1,611,18,,,,,,,2,,,10032,1,,,,,3,1,,3,,,,,2,2,2,14,,,,,,,,,,6,2,,,4,19,,,,,,,,,,,,,2,,3,8,3,1,1,01/04/2024,03:53:37 p. m.,10032,,,,,,,,,,,,,,2021,,,,,,,,2,,,,,,,9,4,2,1,2,
11831,4.0,2024,2,,1,25,88,1,2,,9,,,,,7,,9,6,1,1,3,2,,,,,,,,,2,,2,2,1500,560,200,,200,200,200,200,5,,18,,,,,,,2,,,11831,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,8,,,,,,,,,,9,1,,,1,,,,,,,,,,,,,,2,,3,2,3,1,1,22/04/2024,10:14:02 a. m.,11831,,,,,,,,,,,,,,,,,,,,,1,5,,,,2,,,,,,,2,2
11136,4.0,2024,2,,2,51,117,1,5,,,,23,,,1,,1,11,1,1,5,3,,,,,,,,,2,,2,2,3000,1500,500,200,200,150,200,200,1,,11,17,,,,,,2,350,,11136,1,,,1,,1,1,1,1,1,1,1,1,1,1,,9,7,,,,,,,,,10,1,14,,18,,,,8,32,15,12,21,35,,,,,2,,3,9,7,4,1,12/04/2024,10:57:37 a. m.,11136,,,,,,,,,,,,,,,1,,,,,,1,7,,,,,,,,,4,,2,1
23155,7.0,2024,3,,1,106,1606,2,2,,26,,,,,7,,6,3,2,2,7,3,,,,,,,,,2,,2,2,2250,500,1100,200,500,,200,200,1,882,8,107,26,,,,,2,8,,23155,1,,,1,,2,2,3,2,2,2,2,2,2,1,,9,,,,,,,,,,7,1,,,14,19,,,,,,5,2,56,,,,,2,,3,4,7,4,1,02/08/2024,11:34:57 a. m.,23155,,,,,,,,,,,,,1930,,4,6,,,,,5,2,,,,1,,,4,9,1,,1,
2704,1.0,2024,1,,1,25,47,1,2,,6,,,,,3,,2,4,1,1,5,3,,,,,,,,,6,,6,2,3000,600,2000,50,,,200,200,1,,11,17,20,,,,,2,,,2704,,,1,1,,2,2,,2,3,3,2,2,2,2,2,14,,,,4,10,,,,,9,3,,,4,,,,,,,,,,,,,,2,,3,7,3,1,1,31/01/2024,04:12:23 p. m.,2704,,,,,,,,,,,,,,,,,,,,,1,2,7,,,2,,,6,2,,2,2,
1208,1.0,2024,1,,2,77,173,2,4,,,,,23,,3,165,1,11,1,1,14,4,,,,,,,,,2,,2,2,8000,2000,5000,,,,200,200,1,,18,,,,,,,2,8,,1208,,,1,1,,4,1,1,1,2,2,2,2,2,3,3,12,8,9,,2,4,7,6,,,8,3,,,19,23,,,,,,5,,,3,,,,2,,3,6,7,4,1,18/01/2024,11:54:46 a. m.,1208,,,,,,,,,,,,,640,,,,,,,,1,3,7,,,,,,,,1,3,2,
29498,9.0,2024,3,,2,98,265,1,5,,,,9,,,3,,1,4,1,1,6,3,,,,,,,,,2,,2,4,2890,635,963,110,500,250,190,200,1,39,11,,,,,,,2,,,29498,,,,1,,2,2,3,1,2,2,2,2,3,1,,8,,,,,,,,,,6,1,,,14,23,,,8,5,50,20,62,,3,,,,2,,3,3,3,1,1,30/09/2024,03:46:41 p. m.,29498,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,2,,2,1
29843,9.0,2024,3,,3,48,1056,1,2,,,,,,,1,,2,4,1,1,6,3,,,,,,,,,2,,2,2,3030,1200,900,200,250,120,160,200,1,620,11,1,5,,,,,2,289,,29843,,,,,,3,1,,2,2,1,,1,1,1,,9,,,,,,,,,,9,1,32,,1,19,,,8,,,11,2,36,7,3,,,2,,3,3,2,1,1,02/10/2024,01:33:07 p. m.,29843,,,,,,,,,,,,,7060,,1,,,,,,1,7,,,,1,,,10,9,,,1,1
15841,5.0,2024,2,,2,51,1043,1,1,14,,,,,,3,,1,4,1,1,5,3,,,,,,,,,2,,2,2,3000,200,600,5,100,200,150,200,1,453,,,,,,,,2,,,15841,,1,,,,2,2,2,3,2,1,2,2,1,2,,14,,,,,,,,,,8,1,,,20,,,,5,,,2,,,1,,,,2,,3,5,3,1,1,29/05/2024,12:11:16 p. m.,15841,,,,,,,,,,,,,44290,,,,,,,,1,2,,,,,,,,,2,,2,2
35677,11.0,2024,4,,3,28,672,1,2,,,,,,,7,,2,3,1,1,5,3,,,,,,,,,2,,2,4,3500,500,1400,90,,,150,200,1,92,5,6,,,,,,2,,,35677,1,,,,,1,1,2,4,4,,,1,1,1,,,,,,,,,,,,8,2,,,1,,,,5,4,,2,11,,,,,,2,,3,5,3,1,1,29/11/2024,11:53:25 a. m.,35677,,,,,,,,,,,,,2860,,,,,,,,1,,,,,1,,,4,6,5,,2,1
29982,9.0,2024,3,,3,48,1011,2,2,,43,,,,,3,,7,9,1,1,7,3,,,,,,,,,2,,2,2,4350,2000,2000,,,,150,200,3,440,,,,,,,,2,6,,29982,,,,,,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,7,2,,,1,17,9,,,,,,,,,,,,2,,3,6,3,1,1,02/10/2024,01:46:58 p. m.,29982,,,,,,,,,,,,,,,4,,,,,,5,,,,,2,,,,,1,,2,2
34600,11.0,2024,4,,1,106,1986,5,2,,25,,,,,3,,2,4,3,3,7,3,,,,,,,,,2,,2,2,2500,1000,1000,,,,130,200,1,711,11,17,,,,,,2,,,34600,,,,,,1,1,1,3,2,2,2,1,1,1,,,,,,,,,,,,8,2,,,1,14,,,,,,,,,,,,,2,,3,5,2,1,1,21/11/2024,12:40:27 p. m.,34600,,,,,,,,,,,,,,,8,4,13,,,,4,,,,,2,,,11,,5,,2,1
12550,4.0,2024,2,,2,51,3554,1,5,,,,23,,,7,,4,3,1,1,7,3,,,,,,,,,2,,2,2,2150,400,450,200,200,300,100,200,5,,6,8,11,107,,,,2,103,,12550,1,1,1,1,,2,2,3,2,2,2,2,2,2,2,,13,9,,,,,,,,,7,2,,,23,,,,4,3,,5,2,,1,,,,2,,3,8,2,1,1,25/04/2024,12:04:58 p. m.,12550,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,4,5,5,,2,1
38362,12.0,2024,4,,2,51,4057,2,5,,,,8,,,7,,1,4,1,1,5,3,,,,,,,,,2,,2,2,1500,610,220,,,200,100,200,5,,5,8,,,,,,2,,,38362,1,1,1,,,2,2,2,3,2,2,2,1,1,2,,14,,7,,,,,,,,8,1,,,1,17,,,,,,,,,,,,,2,,3,,3,1,1,20/12/2024,04:37:01 p. m.,38362,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,2,
3275,2.0,2024,1,,3,6,1883,4,4,,,,,1,,7,,4,3,1,1,6,3,,,,,,,,,2,,2,2,3000,1100,400,,600,100,100,200,1,,5,18,,,,,,2,245,47,3275,,,,,,2,2,3,2,2,1,,,2,2,,,,,,5,8,,1,2,3,6,3,,,,1,,,,,,,,,,,,,2,,3,4,3,1,1,07/02/2024,04:16:49 p. m.,3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,5,,,
8447,3.0,2024,1,,2,55,2134,1,1,14,,,,,,2,,3,4,2,2,6,3,,,,,,,,,2,,2,2,2000,300,900,100,200,100,100,200,1,695,5,6,11,107,,,,2,103,176,8447,,1,1,1,,4,1,1,1,3,2,2,2,1,3,3,13,9,,,1,3,5,2,3,4,5,1,,,1,9,14,19,,,,34,2,,,,,,2,,3,9,2,4,1,19/03/2024,04:17:25 p. m.,8447,,,,,,,,,,,,,59030,2019,4,8,13,,,,5,1,3,7,,,,,9,10,2,,,
6698,2.0,2024,1,,2,51,3912,1,2,,5,,,,,7,208,9,4,2,2,4,2,,,,,,,,,2,,2,2,5000,1000,400,200,400,,100,200,5,,4,11,26,,,,,1,103,350,6698,1,,1,,,2,2,,2,2,,,2,1,2,2,,,,,2,7,,,,,7,2,39,14,19,,,,3,8,,30,,,7,,,,2,,3,4,7,1,1,01/03/2024,,6698,,,,,,,,,,,,,92802,2020,1,,,,,,4,2,3,7,,1,,,11,9,1,1,1,
20429,6.0,2024,2,3,,55,,11,1,1,,,,,,7,,2,,5,4,5,3,9,1,,,,,,,2,,2,2,2000,200,300,100,500,,50,200,5,,5,,,,,,,,103,8,20429,1,,,,,1,1,,3,2,4,4,2,1,1,,12,,,,,,,,,,5,1,,,1,9,4,,10,,,,,,56,,,,2,,3,2,7,6,2,09/07/2024,03:57:13 p. m.,20429,,,,,,,,,,,,,8500,,4,7,1,13,12,8,2,2,1,,,,,,,,2,,2,2
39230,12.0,2024,4,,1,25,970,4,2,,6,,,,,7,,4,3,1,1,2,1,,,,,,,,,2,,2,4,2500,1000,289,90,150,150,30,200,1,,17,24,,,,,,2,,,39230,1,1,1,,,2,3,,2,1,2,2,2,1,2,,8,,,,,,,,,,4,2,,,1,4,,,10,37,,,,,,,,,2,,3,2,3,1,1,06/01/2025,12:34:06 p. m.,39230,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,,,4,1,5,,2,1
33196,10.0,2024,4,1,3,6,,3,3,,,,,,,7,,4,11,2,2,2,1,,,,,,,,,2,,2,2,2000,1000,300,,300,200,,200,1,,,,,,,,,,,,33196,,,,,,1,1,1,1,1,1,,2,1,1,,13,,,,,,,,,,9,1,,,18,23,,,,,,,,,,,,,2,,3,3,2,4,2,06/11/2024,04:27:30 p. m.,33196,,,,,,,,,,,,,11256,,11,6,13,,,,3,2,,,,,,,3,6,4,,2,2
20620,6.0,2024,2,4,,,,3,4,,,,,17,,7,,2,3,,,3,2,,,,,,,,,2,,2,2,6000,2200,1700,,1000,,,200,5,,,,,,,,,,,,20620,,1,,,,1,1,1,2,,,,,1,2,,13,,,,,,,,,,9,1,,,23,,,,,,,,,,,,,,2,,3,2,7,6,2,09/07/2024,04:48:37 p. m.,20620,,,,,,,,,,,,,100,,,,,,,,1,2,,,,,,,4,10,5,,2,1
8428,3.0,2024,1,,2,118,5554,1,5,,,,1,,,3,,3,4,1,1,6,3,,,,,,,,,2,,2,2,4000,1000,2000,,800,,,200,1,614,6,8,5,,,,,2,8,,8428,,,1,,,2,1,2,3,1,,1,1,1,1,1,12,9,,,4,10,,2,,,9,1,,,1,19,,,15,37,4,44,51,24,7,16,,,2,,3,8,2,4,1,19/03/2024,02:00:59 p. m.,8428,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,1,3,5,2,2,
9285,3.0,2024,1,1,,,,3,2,,,,,,,,,9,10,1,1,4,2,,,,,,,,,,,2,2,1900,400,600,200,500,,,200,5,,,,,,,,,,,,9285,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,9,,,,,,,1,2,3,10,1,,,1,17,20,,15,,,56,5,2,,,,,2,,3,4,7,4,2,05/04/2024,11:28:23 a. m.,9285,10,4,,,,,,,,,,,61455,2023,,,,,,,2,1,,,,2,,,4,11,2,4,2,
17142,5.0,2024,2,1,,146,,7,3,,,11,,,,7,770,4,4,1,1,7,3,10,1,4,2,,,,,2,,2,2,2000,550,550,200,500,,,200,1,,6,7,18,107,,,,,47,,17142,1,,,1,,2,2,,2,2,,,,1,3,,7,13,9,,,,,,,,10,2,,,1,18,19,16,5,,,,,,25,1,10,,2,,3,4,7,7,2,13/06/2024,11:34:48 a. m.,17142,,,,,,,,,,,,,,,6,8,,,,,1,2,3,7,,,,,3,9,,,2,1
1868,1.0,2024,1,,2,8,411,4,2,,,,,,,,,2,3,1,1,8,4,,,,,,,,,2,,2,2,1800,560,370,300,400,,,200,1,,6,18,32,5,,,,2,3,,1868,1,,1,1,,3,2,,4,1,,2,1,2,1,2,12,13,7,,6,7,1,1,2,3,8,4,20,82,17,23,,,5,15,4,5,12,2,3,1,,,2,,3,2,7,4,1,26/01/2024,11:07:06 a. m.,1868,,,,,,,,,,,,,,,,,,,,,2,3,,,,3,,,4,9,,2,2,
35009,11.0,2024,4,,1,25,87,3,2,,26,,,,,7,,1,9,1,1,6,3,,,,,,,,,2,,2,2,4000,1300,2800,800,280,,,200,1,,,,,,,,,2,,,35009,1,,,1,,2,1,1,2,2,,,,1,1,,8,14,,,,,,,,,10,1,,,1,4,19,,,,,2,12,,,,,,2,,3,6,3,1,1,25/11/2024,12:11:25 p. m.,35009,,,,,,,,,,,,,,,,,,,,,1,2,1,,,2,,,11,4,2,,2,1
5846,2.0,2024,1,,1,25,162,1,2,,,,,,,7,,7,11,3,3,7,3,,,,,,,,,2,,2,2,6000,664,3600,,200,,,200,3,579,,,,,,,,2,,,5846,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10,1,,,1,,,,,,,2,12,,,,,,2,,3,3,7,1,1,19/02/2024,,5846,,,,,,,,,,,,,6606,2019,,,,,,,4,,,,,1,,,4,8,,2,2,
18608,6.0,2024,2,,1,106,1996,1,2,,13,,,,,7,,4,2,5,4,5,3,,,,,,,,,2,,2,2,5000,1700,2300,,200,,,200,1,94,,,,,,,,2,,,18608,1,,,,,1,1,1,1,,2,2,1,2,2,,,,,,,,,,,,10,1,,,1,23,,,,,,2,5,,,,,,2,,3,7,7,4,1,25/06/2024,03:44:11 p. m.,18608,,,,,,,,,,,,,62288,,,,,,,,3,2,1,,,2,,,11,,2,,2,2
17006,5.0,2024,2,1,,55,,11,4,,,,,1,,7,,,1,4,4,21,4,,,,,,,,,2,,2,2,1400,1000,,,200,,,200,4,,,,,,,,,,,,17006,,,,,,2,,,3,,,,,2,2,,,,,,,,,,,,1,1,,,18,,,,85,35,,,,,22,56,1,,2,,3,,7,4,2,10/06/2024,04:17:16 p. m.,17006,,,,,,,,,,,,,,2022,13,8,10,6,12,,4,3,,,,,,,,,1,,,1
34021,11.0,2024,4,,2,51,101,1,1,24,,,,,,7,,9,10,2,2,6,3,,,,,,,,,2,,2,2,1000,350,150,100,150,,,200,5,,26,21,,,,,,2,8,,34021,1,,,,,1,2,,2,2,1,,,1,1,,9,,,,,,,,,,10,1,,,1,20,,,,,,2,5,,,,,,2,,3,9,7,1,1,14/11/2024,11:29:57 a. m.,34021,,,,,,,,,,,,,80000,2018,,,,,,,5,2,,,,1,,,3,,1,,2,3
21126,7.0,2024,3,,1,1,547,1,1,1,,,,,,7,,4,4,1,1,3,2,,,,,,,,,2,,2,2,1000,250,250,100,20,,,200,1,,,,,,,,,2,,,21126,,,,,,1,2,,1,2,,,,1,1,,14,9,,,,,,,,,10,1,,,1,14,,,,,,,,,,,,,2,,3,,3,1,1,17/07/2024,04:56:06 p. m.,21126,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,11,3,,,2,2
38166,12.0,2024,4,,2,51,3480,5,1,15,,,,,,3,,,1,2,2,7,3,,,,,,,,,2,,2,2,2500,400,1500,100,,,,200,1,721,,,,,,,,2,,,38166,,,,,,1,2,3,1,,,,,1,2,,14,,,,,,,,,,8,1,,,1,,,,,,,,,,,,,,2,,3,2,7,4,1,18/12/2024,04:11:39 p. m.,38166,,,,,,,,,,,,,51516,2024,,,,,,,2,2,3,7,,1,,,11,10,2,,2,1
6257,2.0,2024,1,,3,11,1068,1,2,,43,,,,,3,,4,4,1,1,5,3,,,,,,,,,2,,2,2,3000,900,1750,65,,,,200,1,564,,,,,,,,2,8,,6257,1,1,1,,,3,2,3,3,,,,,,,,9,,,,,,,1,3,4,5,2,,,1,23,,,,,,,,,,,,,2,,3,7,7,4,1,22/02/2024,,6257,,,,,,,,,,,,,75211,,,,,,,,1,7,,,,3,,,,,2,2,2,
